experiment,iterations,N,theoretical_limit,parisi_value,gd_mean_eN,sgd_mean_eN,amp_mean_eN,spec_mean_eN,gd_std_eN,sgd_std_eN,amp_std_eN,spec_std_eN,gd_gap_pct,sgd_gap_pct,amp_gap_pct,spec_gap_pct,gd_wall_sec,sgd_wall_sec,amp_wall_sec,spec_wall_sec,gd_flops,sgd_flops,amp_flops,spec_flops,winner,num_seeds
1,100,50,-38.165,-0.7633,-0.60242,-0.5985,-0.69409,-0.68817,0.0361,0.05142,0.03779,0.0453,21.077,21.591,9.067,9.843,0.00066,0.00132,0.00103,0.0004,1000000,565000,526500,129000,AMP,10
1,100,100,-76.33,-0.7633,-0.60229,-0.58136,-0.69209,-0.70429,0.0297,0.02466,0.03377,0.02439,21.093,23.835,9.329,7.731,0.00119,0.00204,0.00159,0.00077,4000000,1510000,2264000,618000,SPEC,10
1,100,250,-190.825,-0.7633,-0.60913,-0.56449,-0.70983,-0.71256,0.01731,0.02537,0.01698,0.01679,20.198,26.046,7.006,6.648,0.00509,0.00843,0.00606,0.00287,25000000,4525000,16037500,6125000,SPEC,10
1,100,500,-381.65,-0.7633,-0.6116,-0.54055,-0.7118,-0.71522,0.01269,0.01326,0.0123,0.0142,19.875,29.182,6.747,6.299,0.01459,0.02147,0.01413,0.02015,100000000,11550000,85200000,38300000,SPEC,10
1,100,1000,-763.3,-0.7633,-0.62052,-0.45914,-0.72305,-0.72676,0.01219,0.01476,0.00803,0.00597,18.705,39.847,5.273,4.788,0.01577,0.03063,0.01761,0.02652,400000000,33100000,476200000,320200000,SPEC,10
1,100,2000,-1526.6,-0.7633,-0.6166,-0.33616,-0.72572,-0.73435,0.00811,0.00714,0.0068,0.00488,19.219,55.96,4.923,3.793,0.02359,0.03651,0.02975,0.06232,1600000000,106200000,3132000000,2524000000,SPEC,10
1,100,3000,-2289.9,-0.7633,-0.61278,-0.25605,-0.72824,-0.73523,0.00614,0.00728,0.00273,0.00484,19.72,66.455,4.593,3.677,0.15332,0.08279,0.29214,0.3678,3600000000,219300000,9630000000,8802000000,SPEC,10
1,100,5000,-3816.5,-0.7633,-0.61821,-0.17127,-0.72906,-0.73575,0.00358,0.00442,0.00309,0.00168,19.009,77.562,4.486,3.61,0.58251,0.21219,2.87159,2.93447,10000000000,565500000,44810000000,41620000000,SPEC,10
1,250,50,-38.165,-0.7633,-0.62696,-0.63749,-0.68817,-0.68817,0.03316,0.04029,0.0453,0.0453,17.862,16.483,9.843,9.843,0.00212,0.00415,0.00322,0.00053,2500000,1412500,1275000,129000,AMP,10
1,250,100,-76.33,-0.7633,-0.62587,-0.62305,-0.69795,-0.70429,0.03035,0.0276,0.02861,0.02439,18.005,18.375,8.562,7.731,0.00409,0.00779,0.00606,0.00108,10000000,3775000,5170000,618000,SPEC,10
1,250,250,-190.825,-0.7633,-0.6361,-0.6071,-0.71764,-0.71256,0.00804,0.02092,0.01352,0.01679,16.665,20.464,5.981,6.648,0.01076,0.01831,0.01257,0.0027,62500000,11312500,34925000,6125000,AMP,10
1,250,500,-381.65,-0.7633,-0.64494,-0.59006,-0.71696,-0.71522,0.00937,0.01062,0.009,0.0142,15.506,22.696,6.071,6.299,0.03998,0.0326,0.01479,0.03812,250000000,28875000,154300000,38300000,AMP,10
1,250,1000,-763.3,-0.7633,-0.64238,-0.50529,-0.72281,-0.72676,0.0119,0.00919,0.00916,0.00597,15.841,33.802,5.305,4.788,0.03247,0.04943,0.02437,0.05527,1000000000,82750000,749800000,320200000,SPEC,10
1,250,2000,-1526.6,-0.7633,-0.63895,-0.35187,-0.73156,-0.73435,0.00714,0.00752,0.00514,0.00488,16.292,53.901,4.159,3.793,0.08105,0.13638,0.03846,0.05939,4000000000,265500000,4300000000,2524000000,SPEC,10
1,250,3000,-2289.9,-0.7633,-0.63863,-0.26122,-0.73243,-0.73523,0.00483,0.0093,0.00419,0.00484,16.333,65.777,4.044,3.677,0.38512,0.24422,0.39207,0.36084,9000000000,548250000,12754800000,8802000000,SPEC,10
1,250,5000,-3816.5,-0.7633,-0.64261,-0.1686,-0.73192,-0.73575,0.00475,0.0053,0.00348,0.00168,15.811,77.911,4.111,3.61,1.4748,0.58531,3.26735,2.96292,25000000000,1413750000,49995000000,41625000000,SPEC,10
1,500,50,-38.165,-0.7633,-0.64559,-0.64834,-0.68817,-0.68817,0.04666,0.04097,0.0453,0.0453,15.422,15.061,9.843,9.843,0.00337,0.00652,0.00494,0.00041,5000000,2825000,2525000,129000,AMP,10
1,500,100,-76.33,-0.7633,-0.63221,-0.63594,-0.70406,-0.70429,0.03106,0.0315,0.02463,0.02439,17.174,16.686,7.761,7.731,0.00904,0.0189,0.01432,0.0012,20000000,7550000,10194000,618000,SPEC,10
1,500,250,-190.825,-0.7633,-0.64945,-0.62716,-0.71272,-0.71256,0.00964,0.01904,0.01401,0.01679,14.916,17.835,6.626,6.648,0.02208,0.04347,0.02969,0.00323,125000000,22625000,66025000,6125000,AMP,10
1,500,500,-381.65,-0.7633,-0.65711,-0.61724,-0.7204,-0.71522,0.01013,0.01208,0.0115,0.0142,13.912,19.136,5.62,6.299,0.03599,0.05972,0.02292,0.02704,500000000,57750000,282600000,38300000,AMP,10
1,500,1000,-763.3,-0.7633,-0.65543,-0.52489,-0.72643,-0.72676,0.01287,0.01278,0.00871,0.00597,14.133,31.235,4.83,4.788,0.05477,0.07803,0.02678,0.03317,2000000000,165500000,1247400000,320200000,SPEC,10
1,500,2000,-1526.6,-0.7633,-0.65074,-0.36553,-0.73388,-0.73435,0.00717,0.01053,0.00737,0.00488,14.747,52.111,3.854,3.793,0.16749,0.30003,0.06806,0.06955,8000000000,531000000,6263200000,2524000000,SPEC,10
1,500,3000,-2289.9,-0.7633,-0.65235,-0.259,-0.73228,-0.73523,0.00654,0.0087,0.00357,0.00484,14.535,66.068,4.064,3.677,0.81322,0.48703,0.53562,0.36575,18000000000,1096500000,16732800000,8802000000,SPEC,10
1,500,5000,-3816.5,-0.7633,-0.65409,-0.17156,-0.73487,-0.73575,0.00576,0.00525,0.00302,0.00168,14.308,77.524,3.725,3.61,3.07432,1.16707,4.14767,2.98879,50000000000,2827500000,63430000000,41625000000,SPEC,10
1,1000,50,-38.165,-0.7633,-0.65163,-0.65001,-0.68817,-0.68817,0.05545,0.0399,0.0453,0.0453,14.629,14.842,9.843,9.843,0.0056,0.0112,0.00835,0.00037,10000000,5650000,5024000,129000,AMP,10
1,1000,100,-76.33,-0.7633,-0.65043,-0.64055,-0.70429,-0.70429,0.03256,0.03092,0.02439,0.02439,14.787,16.082,7.731,7.731,0.00826,0.01252,0.00961,0.00055,40000000,15100000,20198000,618000,AMP,10
1,1000,250,-190.825,-0.7633,-0.65468,-0.65174,-0.71256,-0.71256,0.01378,0.01937,0.01679,0.01679,14.23,14.615,6.648,6.648,0.02189,0.03985,0.02293,0.00162,250000000,45250000,128500000,6125000,AMP,10
1,1000,500,-381.65,-0.7633,-0.66565,-0.62675,-0.71483,-0.71522,0.01037,0.0138,0.01382,0.0142,12.793,17.89,6.35,6.299,0.06149,0.07137,0.02906,0.02777,1000000000,115500000,529250000,38300000,SPEC,10
1,1000,1000,-763.3,-0.7633,-0.66525,-0.54596,-0.72816,-0.72676,0.0127,0.01167,0.00563,0.00597,12.846,28.474,4.604,4.788,0.07271,0.17196,0.04549,0.03147,4000000000,331000000,2266400000,320200000,AMP,10
1,1000,2000,-1526.6,-0.7633,-0.66315,-0.36741,-0.73338,-0.73435,0.00706,0.00559,0.0042,0.00488,13.121,51.866,3.92,3.793,0.32946,0.57347,0.10836,0.05857,16000000000,1062000000,10228000000,2524000000,SPEC,10
1,1000,3000,-2289.9,-0.7633,-0.66382,-0.25619,-0.73572,-0.73523,0.00752,0.00674,0.00473,0.00484,13.033,66.436,3.614,3.677,1.56073,0.98909,0.8803,0.38199,36000000000,2193000000,26235000000,8802000000,AMP,10
1,1000,5000,-3816.5,-0.7633,-0.66326,-0.17127,-0.7351,-0.73575,0.00533,0.00645,0.00352,0.00168,13.107,77.562,3.694,3.61,5.9671,2.33131,5.81877,3.0266,100000000000,5655000000,88210000000,41620000000,SPEC,10
