experiment,iterations,N,time_budget_sec,theoretical_limit,parisi_value,gd_best_eN,sgd_best_eN,amp_best_eN,spec_best_eN,gd_gap_pct,sgd_gap_pct,amp_gap_pct,spec_gap_pct,gd_restarts,sgd_restarts,amp_restarts,spec_restarts,gd_wall_sec,sgd_wall_sec,amp_wall_sec,spec_wall_sec,gd_flops,sgd_flops,amp_flops,spec_flops,winner
2,100,50,2.0,-38.165,-0.7633,-0.69709,-0.69502,-0.69709,-0.69709,8.674,8.946,8.674,8.674,4535,2299,3031,73831,2.0,2.001,2.0,2.0,4535000000,1298935000,1594875000,4346925000,GD
2,100,100,2.0,-76.33,-0.7633,-0.70748,-0.6758,-0.70717,-0.70787,7.313,11.463,7.353,7.262,1781,953,1235,15051,2.001,2.001,2.001,2.0,7124000000,1439030000,2720100000,6807700000,SPEC
2,100,250,2.0,-190.825,-0.7633,-0.69112,-0.64055,-0.7355,-0.73409,9.456,16.081,3.642,3.826,1068,561,853,3917,2.002,2.001,2.002,2.0,26700000000,2538525000,14012375000,30124375000,AMP
2,100,500,2.0,-381.65,-0.7633,-0.67799,-0.58118,-0.73878,-0.73976,11.177,23.86,3.212,3.084,730,318,531,1135,2.002,2.005,2.002,2.0,73000000000,3672900000,41954000000,71150500000,SPEC
2,100,1000,2.0,-763.3,-0.7633,-0.65056,-0.48798,-0.74849,-0.74222,14.77,36.07,1.94,2.762,379,121,285,369,2.004,2.013,2.001,2.004,151600000000,4005100000,132140000000,188124000000,AMP
2,100,2000,2.0,-1526.6,-0.7633,-0.6428,-0.36336,-0.7372,-0.73787,15.787,52.396,3.419,3.331,67,37,75,53,2.001,2.05,2.003,2.017,107200000000,3929400000,232920000000,233432000000,SPEC
2,100,3000,2.0,-2289.9,-0.7633,-0.63198,-0.27033,-0.7326,-0.73757,17.204,64.584,4.021,3.371,14,21,7,6,2.132,2.047,2.317,2.574,50400000000,4605300000,73152000000,81360000000,SPEC
2,100,5000,2.0,-3816.5,-0.7633,-0.62514,-0.17804,-0.72589,-0.73659,18.101,76.675,4.901,3.499,4,9,1,1,2.327,2.069,2.346,2.018,40000000000,5089500000,36600000000,35100000000,SPEC
2,250,50,2.0,-38.165,-0.7633,-0.69709,-0.69709,-0.6818,-0.69709,8.674,8.674,10.678,8.674,1870,944,1273,74823,2.0,2.001,2.001,2.0,4675000000,1333400000,1623075000,4408105000,GD
2,250,100,2.0,-76.33,-0.7633,-0.70787,-0.68876,-0.70717,-0.70787,7.262,9.765,7.354,7.262,507,221,291,9630,2.003,2.003,2.006,2.0,5070000000,834275000,1500680000,4372420000,GD
2,250,250,2.0,-190.825,-0.7633,-0.69829,-0.65728,-0.7211,-0.73409,8.517,13.889,5.528,3.826,374,125,181,2262,2.002,2.011,2.005,2.0,23375000000,1414062500,6285375000,17419125000,SPEC
2,250,500,2.0,-381.65,-0.7633,-0.69232,-0.62627,-0.73782,-0.74416,9.299,17.953,3.338,2.508,200,81,140,888,2.007,2.016,2.014,2.003,50000000000,2338875000,21337000000,55553500000,SPEC
2,250,1000,2.0,-763.3,-0.7633,-0.68023,-0.53248,-0.74682,-0.73967,10.883,30.239,2.159,3.096,113,43,77,218,2.017,2.017,2.025,2.005,113000000000,3558250000,58266000000,113696000000,AMP
2,250,2000,2.0,-1526.6,-0.7633,-0.66365,-0.3748,-0.7386,-0.73719,13.055,50.897,3.237,3.421,26,15,49,58,2.056,2.139,2.007,2.02,104000000000,3982500000,214584000000,264136000000,AMP
2,250,3000,2.0,-2289.9,-0.7633,-0.65176,-0.2709,-0.73594,-0.74064,14.613,64.509,3.584,2.968,5,9,5,4,2.19,2.243,2.136,2.024,45000000000,4934250000,63468000000,60570000000,SPEC
2,250,5000,2.0,-3816.5,-0.7633,-0.64956,-0.17308,-0.73642,-0.73659,14.902,77.324,3.522,3.499,2,4,1,1,2.964,2.294,3.273,2.088,50000000000,5655000000,51300000000,35100000000,SPEC
2,500,50,2.0,-38.165,-0.7633,-0.69709,-0.69709,-0.6818,-0.69709,8.674,8.674,10.678,8.674,938,471,637,73953,2.001,2.002,2.003,2.0,4690000000,1330575000,1608425000,4360980000,GD
2,500,100,2.0,-76.33,-0.7633,-0.70787,-0.70552,-0.70406,-0.70787,7.262,7.57,7.762,7.262,519,304,414,20096,2.001,2.002,2.0,2.0,10380000000,2295200000,4207860000,9138280000,GD
2,500,250,2.0,-190.825,-0.7633,-0.70067,-0.69186,-0.71606,-0.73409,8.205,9.36,6.189,3.826,267,114,205,4662,2.005,2.002,2.005,2.0,33375000000,2579250000,13554375000,35889000000,SPEC
2,500,500,2.0,-381.65,-0.7633,-0.69736,-0.64049,-0.72534,-0.74189,8.638,16.089,4.973,2.805,173,61,147,1204,2.009,2.024,2.004,2.003,86500000000,3522750000,40325500000,75459500000,SPEC
2,500,1000,2.0,-763.3,-0.7633,-0.67584,-0.54697,-0.74798,-0.74204,11.458,28.341,2.007,2.785,65,26,85,366,2.021,2.008,2.011,2.006,130000000000,4303000000,106858000000,189928000000,AMP
2,500,2000,2.0,-1526.6,-0.7633,-0.67626,-0.37547,-0.73788,-0.73311,11.404,50.81,3.33,3.956,13,8,32,52,2.023,2.198,2.074,2.018,104000000000,4248000000,203408000000,227272000000,AMP
2,500,3000,2.0,-2289.9,-0.7633,-0.66138,-0.27266,-0.73183,-0.73579,13.352,64.279,4.123,3.604,3,5,4,4,2.225,2.442,2.1,2.026,54000000000,5482500000,68940000000,60696000000,SPEC
2,500,5000,2.0,-3816.5,-0.7633,-0.65135,-0.17356,-0.72767,-0.73659,14.666,77.262,4.668,3.499,1,2,1,1,2.944,2.296,3.504,2.159,50000000000,5655000000,54300000000,35100000000,SPEC
