experiment,N,num_restarts,amp_iters_per_run,theoretical_limit,parisi_value,amp_mean_eN,spec_mean_eN,amp_gap_pct,spec_gap_pct,quality_gap_pp,amp_wall_sec,spec_wall_sec,wall_ratio,amp_flops,spec_flops,flop_ratio,winner,num_seeds
3,500,1,500,-381.65,-0.7633,-0.72168,-0.72664,5.453,4.803,0.65,0.0444,0.0405,1.1,277800000,42800000,6.5,SPEC,5
3,500,10,500,-381.65,-0.7633,-0.73181,-0.73073,4.125,4.267,-0.142,0.1541,0.0727,2.12,2792400000,613800000,4.5,AMP,5
3,500,25,500,-381.65,-0.7633,-0.73459,-0.73564,3.762,3.624,0.138,0.3784,0.0968,3.91,7002700000,1516500000,4.6,SPEC,5
3,500,50,500,-381.65,-0.7633,-0.73543,-0.73894,3.652,3.192,0.46,0.7851,0.144,5.45,14021800000,3091700000,4.5,SPEC,5
3,500,100,500,-381.65,-0.7633,-0.73675,-0.73916,3.478,3.162,0.315,1.3901,0.2034,6.83,28028500000,6411100000,4.4,SPEC,5
3,1000,1,500,-763.3,-0.7633,-0.73319,-0.73172,3.945,4.137,-0.192,0.046,0.0205,2.24,1259600000,319600000,3.9,AMP,5
3,1000,10,500,-763.3,-0.7633,-0.73925,-0.73796,3.151,3.32,-0.168,0.2444,0.1236,1.98,12530000000,5170400000,2.4,AMP,5
3,1000,25,500,-763.3,-0.7633,-0.74176,-0.74071,2.822,2.959,-0.138,0.6265,0.204,3.07,31414000000,12610000000,2.5,AMP,5
3,1000,50,500,-763.3,-0.7633,-0.74274,-0.74206,2.694,2.783,-0.09,1.1884,0.3365,3.53,62685600000,25306400000,2.5,AMP,5
3,1000,100,500,-763.3,-0.7633,-0.74346,-0.7423,2.599,2.751,-0.152,3.6078,0.7512,4.8,125212000000,51904000000,2.4,AMP,5
3,2000,1,500,-1526.6,-0.7633,-0.7359,-0.73286,3.59,3.988,-0.398,0.1051,0.0776,1.35,6236800000,2596800000,2.4,AMP,5
3,2000,10,500,-1526.6,-0.7633,-0.73974,-0.73791,3.087,3.326,-0.239,1.0101,0.42,2.4,62198400000,43083200000,1.4,AMP,5
3,2000,25,500,-1526.6,-0.7633,-0.74046,-0.73932,2.992,3.142,-0.15,2.5592,0.9597,2.67,156344000000,108475200000,1.4,AMP,5
3,2000,50,500,-1526.6,-0.7633,-0.74076,-0.74024,2.953,3.021,-0.068,5.7776,2.3985,2.41,312892800000,219134400000,1.4,AMP,5
3,2000,100,500,-1526.6,-0.7633,-0.74162,-0.74096,2.84,2.927,-0.086,10.4637,4.6086,2.27,626689600000,448238400000,1.4,AMP,5
3,5000,1,500,-3816.5,-0.7633,-0.73219,-0.73371,4.076,3.877,0.199,4.3085,3.2734,1.32,62830000000,42740000000,1.5,SPEC,5
3,5000,10,500,-3816.5,-0.7633,-0.7377,-0.73597,3.353,3.581,-0.228,42.8006,46.7824,0.91,639610000000,717560000000,0.9,AMP,5
3,5000,25,500,-3816.5,-0.7633,-0.73878,-0.73748,3.212,3.382,-0.17,106.3921,118.2116,0.9,1608090000000,1801130000000,0.9,AMP,5
3,5000,50,500,-3816.5,-0.7633,-0.74026,-0.73849,3.019,3.25,-0.232,218.3406,246.66,0.89,3211660000000,3611690000000,0.9,AMP,5
3,5000,100,500,-3816.5,-0.7633,-0.74078,-0.73952,2.951,3.115,-0.164,440.1413,506.0338,0.87,6413480000000,7354980000000,0.9,AMP,5
