experiment,iterations,N,theoretical_limit,parisi_value,gd_mean_eN,amp_mean_eN,ampt_mean_eN,iamp_mean_eN,spec_mean_eN,gd_std_eN,amp_std_eN,ampt_std_eN,iamp_std_eN,spec_std_eN,gd_gap_pct,amp_gap_pct,ampt_gap_pct,iamp_gap_pct,spec_gap_pct,gd_wall_sec,amp_wall_sec,ampt_wall_sec,iamp_wall_sec,spec_wall_sec,gd_flops,amp_flops,ampt_flops,iamp_flops,spec_flops,winner,num_seeds
1,100,100,-76.33,-0.7633,-0.62003,-0.71134,-0.67029,-0.70673,-0.71491,0.04149,0.04072,0.06435,0.04137,0.03846,18.77,6.807,12.185,7.412,6.34,0.00114,0.00142,0.00122,0.00147,0.00075,4000000,2198000,2670000,2330050,622000,SPEC,10
1,100,250,-190.825,-0.7633,-0.61324,-0.70418,-0.68169,-0.70932,-0.71339,0.02263,0.01168,0.02769,0.01606,0.01679,19.659,7.746,10.692,7.072,6.539,0.00251,0.00201,0.00222,0.00218,0.00135,25000000,15737500,25062500,16445050,6737500,SPEC,10
1,100,500,-381.65,-0.7633,-0.62613,-0.71005,-0.68615,-0.71402,-0.72354,0.02073,0.00887,0.01409,0.01067,0.00775,17.97,6.976,10.108,6.456,5.208,0.00614,0.01415,0.00827,0.01195,0.01967,100000000,80350000,155950000,84020050,44600000,SPEC,10
1,100,1000,-763.3,-0.7633,-0.61448,-0.72016,-0.69244,-0.72201,-0.72953,0.01186,0.0085,0.00967,0.00749,0.00513,19.497,5.652,9.283,5.41,4.424,0.00934,0.01796,0.02741,0.00876,0.02641,400000000,466400000,1122800000,455020050,329800000,SPEC,10
1,100,5000,-3816.5,-0.7633,-0.6165,-0.72525,-0.71322,-0.73009,-0.73556,0.00348,0.00397,0.01315,0.00429,0.00304,19.232,4.984,6.561,4.35,3.634,0.57775,2.84554,6.73742,2.80907,2.9918,10000000000,43995000000,104920000000,43924020050,42435000000,SPEC,10
1,250,100,-76.33,-0.7633,-0.64887,-0.71547,-0.68322,-0.71513,-0.71491,0.04947,0.03815,0.06008,0.03732,0.03846,14.991,6.267,10.491,6.311,6.34,0.00179,0.0021,0.00179,0.00245,0.00046,10000000,5214000,5660000,5462125,622000,AMP,10
1,250,250,-190.825,-0.7633,-0.63771,-0.71251,-0.67816,-0.71547,-0.71339,0.02498,0.01458,0.02032,0.01243,0.01679,16.453,6.654,11.154,6.266,6.539,0.00501,0.00471,0.00437,0.00566,0.00134,62500000,35037500,42950000,35400125,6737500,IAMP,10
1,250,500,-381.65,-0.7633,-0.64854,-0.71941,-0.68989,-0.7239,-0.72354,0.02082,0.00851,0.01456,0.00863,0.00775,15.035,5.75,9.618,5.161,5.208,0.00777,0.0091,0.00921,0.01028,0.00656,250000000,161450000,237700000,154250125,44600000,IAMP,10
1,250,1000,-763.3,-0.7633,-0.64166,-0.72556,-0.69461,-0.72972,-0.72953,0.01328,0.00993,0.01543,0.00586,0.00513,15.937,4.944,9.0,4.4,4.424,0.03296,0.02261,0.01887,0.01491,0.03132,1000000000,769000000,1401200000,740850125,329600000,IAMP,10
1,250,5000,-3816.5,-0.7633,-0.6431,-0.73382,-0.71251,-0.73839,-0.73556,0.00489,0.0016,0.01442,0.00253,0.00304,15.748,3.862,6.654,3.264,3.634,1.47581,3.48793,7.44105,3.13686,3.02426,25000000000,53840000000,115495000000,47590050125,42435000000,IAMP,10
