experiment,iterations,N,time_budget_sec,theoretical_limit,parisi_value,gd_best_eN,amp_best_eN,ampt_best_eN,iamp_best_eN,spec_best_eN,gd_gap_pct,amp_gap_pct,ampt_gap_pct,iamp_gap_pct,spec_gap_pct,gd_restarts,amp_restarts,ampt_restarts,iamp_restarts,spec_restarts,gd_wall_sec,amp_wall_sec,ampt_wall_sec,iamp_wall_sec,spec_wall_sec,gd_flops,amp_flops,ampt_flops,iamp_flops,spec_flops,winner
2,100,100,2.0,-76.33,-0.7633,-0.71689,-0.71862,-0.72407,-0.72407,-0.72407,6.08,5.853,5.14,5.14,5.14,1911,1797,1882,1667,16864,2.0,2.001,2.001,2.001,2.0,7644000000,3945940000,5124180000,3795100500,7998540000,AMP-T
2,100,250,2.0,-190.825,-0.7633,-0.68901,-0.74004,-0.73896,-0.73907,-0.74064,9.733,3.047,3.189,3.175,2.969,936,800,813,742,3871,2.002,2.001,2.001,2.0,2.0,23400000000,13200625000,18658125000,12555850500,31845500000,SPEC
2,100,500,2.0,-381.65,-0.7633,-0.67702,-0.73773,-0.73816,-0.73781,-0.74025,11.303,3.35,3.293,3.339,3.019,860,604,464,536,1429,2.001,2.003,2.002,2.003,2.001,86000000000,49068500000,70188500000,43775100500,92794500000,SPEC
2,100,1000,2.0,-763.3,-0.7633,-0.66047,-0.74103,-0.73045,-0.74465,-0.73662,13.472,2.918,4.304,2.443,3.496,425,282,148,217,372,2.005,2.006,2.011,2.003,2.001,170000000000,135240000000,148624000000,101903800500,189070000000,IAMP
2,100,5000,2.0,-3816.5,-0.7633,-0.62038,-0.72717,-0.73762,-0.73265,-0.73633,18.723,4.733,3.364,4.016,3.533,4,1,1,1,1,2.356,2.725,2.421,2.838,2.154,40000000000,42900000000,37250000000,44654200500,36850000000,AMP-T
2,250,100,2.0,-76.33,-0.7633,-0.72242,-0.71468,-0.72229,-0.71626,-0.72407,5.356,6.37,5.372,6.162,5.14,450,276,328,408,12722,2.002,2.005,2.003,2.0,2.0,4500000000,1435140000,1874660000,2211801250,6036320000,SPEC
2,250,250,2.0,-190.825,-0.7633,-0.70622,-0.72703,-0.74035,-0.72703,-0.7404,7.477,4.752,3.006,4.752,3.0,369,333,367,280,3240,2.003,2.005,2.001,2.004,2.0,23062500000,12031750000,15396625000,9833751250,26672625000,SPEC
2,250,500,2.0,-381.65,-0.7633,-0.6952,-0.73294,-0.7274,-0.73734,-0.74023,8.922,3.978,4.704,3.401,3.022,258,243,220,186,1081,2.002,2.008,2.003,2.003,2.001,64500000000,37868000000,49338500000,28445501250,70098500000,SPEC
2,250,1000,2.0,-763.3,-0.7633,-0.6814,-0.74308,-0.72412,-0.74888,-0.73496,10.73,2.649,5.134,1.889,3.712,122,122,87,94,286,2.001,2.016,2.022,2.014,2.001,122000000000,92386000000,114398000000,68064501250,147946000000,IAMP
2,250,5000,2.0,-3816.5,-0.7633,-0.64654,-0.73595,-0.73969,-0.7336,-0.73633,15.296,3.583,3.094,3.892,3.533,2,1,1,1,1,3.05,3.61,3.772,2.896,2.152,50000000000,52150000000,54800000000,43960501250,36850000000,AMP-T
2,500,100,2.0,-76.33,-0.7633,-0.72277,-0.71468,-0.72242,-0.71468,-0.72407,5.31,6.37,5.356,6.37,5.14,224,140,170,216,12592,2.006,2.014,2.004,2.001,2.0,4480000000,1428000000,1826740000,2286282500,5989400000,SPEC
2,500,250,2.0,-190.825,-0.7633,-0.72903,-0.72274,-0.73511,-0.72703,-0.74003,4.489,5.313,3.694,4.752,3.048,177,176,218,149,3826,2.001,2.005,2.002,2.013,2.0,22125000000,11858000000,15937000000,10004627500,31313625000,SPEC
2,500,500,2.0,-381.65,-0.7633,-0.69914,-0.73164,-0.73285,-0.7358,-0.73538,8.405,4.148,3.99,3.603,3.658,171,147,148,97,1437,2.009,2.004,2.009,2.016,2.001,85500000000,41504000000,51081000000,27286002500,93290000000,IAMP
2,500,1000,2.0,-763.3,-0.7633,-0.67935,-0.74206,-0.73111,-0.74781,-0.73612,10.999,2.782,4.217,2.03,3.561,87,85,75,53,376,2.017,2.021,2.002,2.026,2.0,174000000000,106430000000,136134000000,64207002500,191914000000,IAMP
2,500,5000,2.0,-3816.5,-0.7633,-0.65659,-0.73844,-0.73582,-0.74385,-0.73633,13.98,3.257,3.6,2.548,3.533,1,1,1,1,1,2.949,4.368,3.601,4.674,2.165,50000000000,65450000000,56300000000,63371002500,36850000000,IAMP
2,1000,100,2.0,-76.33,-0.7633,-0.72407,-0.71468,-0.72407,-0.71468,-0.72407,5.14,6.37,5.14,6.37,5.14,110,71,80,110,12790,2.002,2.028,2.025,2.0,2.0,4400000000,1434200000,1655440000,2309805000,6045640000,GD
