experiment,N,num_restarts,amp_iters_per_run,theoretical_limit,parisi_value,amp_mean_eN,ampt_mean_eN,iamp_mean_eN,spec_mean_eN,amp_gap_pct,ampt_gap_pct,iamp_gap_pct,spec_gap_pct,quality_gap_pp,ampt_quality_gap_pp,iamp_quality_gap_pp,amp_wall_sec,ampt_wall_sec,iamp_wall_sec,spec_wall_sec,wall_ratio,ampt_wall_ratio,iamp_wall_ratio,amp_flops,ampt_flops,iamp_flops,spec_flops,flop_ratio,ampt_flop_ratio,iamp_flop_ratio,winner,num_seeds
3,500,1,500,-381.65,-0.7633,-0.72145,-0.68237,-0.72508,-0.724,5.483,10.603,5.007,5.149,0.334,5.454,-0.143,0.0344,0.0247,0.0234,0.0239,1.44,1.03,0.98,276900000,358400000,279702500,39200000,7.1,9.1,7.1,IAMP,5
3,500,10,500,-381.65,-0.7633,-0.72786,-0.71005,-0.73431,-0.73173,4.644,6.977,3.798,4.136,0.508,2.841,-0.338,0.1678,0.1653,0.2146,0.0552,3.04,3.0,3.89,2787200000,3622200000,2801702500,616300000,4.5,5.9,4.5,IAMP,5
3,500,25,500,-381.65,-0.7633,-0.72779,-0.71015,-0.73715,-0.73262,4.653,6.963,3.427,4.019,0.634,2.944,-0.592,0.3762,0.3698,0.5249,0.0995,3.78,3.72,5.27,6947700000,9087800000,7011402500,1599400000,4.3,5.7,4.4,IAMP,5
3,500,50,500,-381.65,-0.7633,-0.72985,-0.71421,-0.74251,-0.73521,4.382,6.431,2.724,3.68,0.702,2.751,-0.956,0.7091,0.6863,1.0027,0.1383,5.13,4.96,7.25,13892500000,18252000000,14007702500,3189200000,4.4,5.7,4.4,IAMP,5
3,500,100,500,-381.65,-0.7633,-0.73188,-0.71899,-0.73908,-0.73699,4.117,5.805,3.174,3.447,0.67,2.358,-0.273,1.3573,1.3634,2.02,0.1951,6.96,6.99,10.35,27785000000,36383300000,28079102500,6274400000,4.4,5.8,4.5,IAMP,5
3,1000,1,500,-763.3,-0.7633,-0.72697,-0.69899,-0.73039,-0.7275,4.76,8.425,4.312,4.69,0.07,3.736,-0.378,0.0437,0.0288,0.0373,0.0322,1.36,0.89,1.16,1249600000,1775600000,1236202500,340000000,3.7,5.2,3.6,IAMP,5
3,1000,10,500,-763.3,-0.7633,-0.73416,-0.72254,-0.74119,-0.73129,3.818,5.34,2.897,4.194,-0.376,1.146,-1.297,0.2513,0.2692,0.3797,0.13,1.93,2.07,2.92,12557200000,18072400000,12307402500,5014800000,2.5,3.6,2.5,IAMP,5
3,1000,25,500,-763.3,-0.7633,-0.73698,-0.72073,-0.74081,-0.73762,3.448,5.577,2.946,3.364,0.084,2.212,-0.418,0.6265,0.7289,0.999,0.2354,2.66,3.1,4.24,31602000000,45104400000,30824602500,12931600000,2.4,3.5,2.4,IAMP,5
3,1000,50,500,-763.3,-0.7633,-0.73842,-0.72379,-0.74273,-0.73672,3.259,5.176,2.695,3.482,-0.223,1.694,-0.787,1.2097,1.4394,1.9502,0.3623,3.34,3.97,5.38,63040400000,90535600000,61907402500,26811600000,2.4,3.4,2.3,IAMP,5
3,1000,100,500,-763.3,-0.7633,-0.7412,-0.72539,-0.7438,-0.73864,2.895,4.967,2.554,3.231,-0.336,1.736,-0.677,2.5982,3.0882,4.0621,0.6916,3.76,4.46,5.87,126285200000,180095600000,123508602500,52767600000,2.4,3.4,2.3,IAMP,5
3,2000,1,500,-1526.6,-0.7633,-0.72956,-0.70345,-0.7336,-0.73008,4.421,7.841,3.891,4.352,0.068,3.488,-0.461,0.063,0.0922,0.0907,0.0603,1.05,1.53,1.5,6203200000,11030400000,6081002500,2537600000,2.4,4.3,2.4,IAMP,5
3,2000,10,500,-1526.6,-0.7633,-0.73625,-0.7096,-0.73915,-0.73548,3.544,7.035,3.164,3.645,-0.101,3.389,-0.482,0.8492,1.3421,1.1465,0.5513,1.54,2.43,2.08,62724800000,112139200000,59801002500,44057600000,1.4,2.5,1.4,IAMP,5
3,2000,25,500,-1526.6,-0.7633,-0.73858,-0.712,-0.74171,-0.73595,3.238,6.72,2.828,3.583,-0.345,3.137,-0.755,1.5836,2.4062,2.3455,0.8638,1.83,2.79,2.72,157564800000,281483200000,152346602500,109635200000,1.4,2.6,1.4,IAMP,5
